user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
C716BC0FD899660F25F36C06B11D6398,0,15,15,31,16,12,3.4666666666666663,15
3FFB1DF94D148994075041E8643DD788,2,14,12,13,13,21,5.083333333333334,12
A3D25F3FA1983C40DE78BD7B05CEBAD0,0,7,7,25,8,9,4.0,7
DC37E68D65047E5518782B8B5777984F,1,11,10,11,11,21,5.8999999999999995,10
EBAFA84A52A94B3156F18BDFA783ADF4,14,33,19,20,20,21,4.736842105263159,19
95E32BCFB98717F9BC0248506B59C8A0,0,0,2,11,3,14,7.0,2
CAE82AB5230914DF18EFC7FB1BD027D7,7,7,24,25,25,21,5.541666666666667,24
288FBDD45A732242BC8BE2C1C06F63E2,1,0,27,28,29,21,6.071428571428573,28
B2BF10143FF90ACF11719DA740A2F88B,16,7,15,21,17,21,2.8823529411764706,17
0FB030B897D1A6360CCD8CCBF9031755,1,14,13,14,14,21,7.538461538461537,13
1608F85B710EC4AE0024BB8A1C339071,12,43,31,31,31,21,6.258064516129029,31
665B1505AECAE3569C2B0FED30223A3D,4,28,24,25,25,21,4.291666666666666,24
098868D9626624131122714C36A5D069,0,15,15,16,16,21,7.266666666666667,15
D2D5BF0E23E60D6564EEC393556BDC21,1,31,30,31,32,21,5.354838709677418,31
7CC61FB109657777ADD59480BC290F29,35,29,26,26,27,21,3.592592592592593,27
BB077076D658A9593C4D36FF54402A2F,0,4,3,14,5,13,4.428571428571429,7
024E7FEC0BCF6A2AA90E4696C95B44A1,0,0,0,26,1,,,0
22A2927157CD0E7A47FAABD6F0C17263,0,4,4,13,5,14,6.5,4
3A13C0161E8EFF3506A9CFEB63803D73,0,3,3,20,4,5,3.0,3
90328AC1342160D6A06539016F0229FB,5,0,2,14,4,21,9.0,3
3883775AD957247EE86DB4402FA748F4,29,26,21,19,20,21,5.181818181818182,22
907E435730D7DB85E34CF7DC57EFBE4B,2,9,7,13,9,21,7.0,7
8C04D9949CEE07F5D80FEC08F0E3C923,2,1,4,28,5,2,1.0,4
7A7049EA3CC84AB4C498F4DF40003AE5,2,22,21,20,21,21,6.181818181818182,22
9DFC6466DFDBDE2D6D93E3F8693283C3,0,12,12,13,13,21,6.916666666666667,12
BB04ADFC36810787A70AA8B798F7065B,2,0,3,13,4,13,5.0,6
F2D4C11350064031EA8AC50AA63F94A8,4,2,0,24,1,,,0
2B0DC55FC762171A7E975A1321528458,8,31,24,24,25,21,5.083333333333334,24
B8B20A9B77B516AC51BD7C96E3F1866C,0,4,5,31,2,3,2.4,5
B06766CF9F24205F1EEBF02C8F981A19,10,26,16,31,17,8,3.5,16
9B5D71AD5ABD11089F84E75ADAC31F15,0,2,2,14,3,12,11.0,2
116241CC46E43654C249CCA7DEC811BD,0,14,15,15,15,21,7.333333333333333,15
4657D96DA15E782F8E82EBA5A791BB66,3,28,25,26,26,21,6.960000000000001,25
620E8B1B1DF8E97AE28C91153E52F543,0,25,25,26,26,21,6.76,25
771316514A9E5D0D1821DDB64CEAEF12,0,4,4,24,5,13,6.5,4
3C94E696C9FE64D9F203A40FECDA5A2A,0,0,19,21,11,14,6.894736842105262,19
2E576595B5FF8D66CA224AFADAE588B4,11,3,19,20,21,21,4.300000000000001,20
ACBDEF6CDDCF8C568B026B4E104F2055,13,11,19,20,21,21,4.700000000000001,20
9756BD4A082BFDA01EEE6555ACBE81B1,49,86,36,31,32,21,3.7105263157894752,38
10522BF919A454B898540F51FFDCB292,74,107,36,31,32,21,3.080645161290323,62
C37E67D4830943022F72623875F1E4C4,0,1,1,25,2,0,0.0,1
ED75C88BBB5766563A925F883902AAE8,0,0,0,15,2,2,1.0,2
AFDCA3FFC95F14892D6D0B2E870E3D97,8,4,0,28,28,,,0
2BBBB993FCB4A3A3C59D2537202CA402,6,22,16,17,17,21,5.625,16
1C9DAE1F278190CEEEEB70A8F4B28FE5,5,5,4,12,4,12,4.75,4
01BE5107A02018738DED57597F10A916,0,8,8,20,9,11,6.0,8
44DE25D7B9A474632A68C3533417A1CD,3,15,12,13,13,21,7.166666666666667,12
DEF2530E2AF38393F24B8BFBCE9F6A03,0,10,10,11,11,21,5.0,10
29A56E20BDAD2067AEF874E2EC86F203,63,74,31,31,32,21,3.844444444444445,45
FFDDF354D9B9E851D2A62ABAEA17DA3E,10,33,25,26,27,21,5.115384615384615,26
0437C4C4800106103B7B7EBD7A7CD76D,0,8,8,13,9,15,4.0,8
1BA4C4E8652A5EAD573B26140AD12235,1,18,17,25,18,14,3.823529411764706,17
72AC12CE2E2F425A2546D18F14B0077A,7,25,18,19,19,21,5.777777777777779,18
A329F671CAD036858EA863966B6F2BA3,0,13,13,14,14,21,6.000000000000001,13
35929D52C47DAC927FFFE0BA6F8343E4,1,26,25,26,26,21,5.040000000000001,25
3082CDD760FB4C2F5BAE25E78DD0B000,6,6,16,16,16,21,6.937499999999999,16
8E150A8839C964819CC821BABA13E2A7,4,1,11,12,13,21,4.642857142857142,14
E0F1DC58BE9661A3DFD9C3228B179C29,20,49,30,31,31,21,5.333333333333333,30
942E123C7E8C0B62935889D03D77BE8E,4,0,23,24,25,21,5.333333333333334,27
94B02BA3020E382B3456932FA88A03AC,21,31,21,21,22,21,4.045454545454546,22
0CF0BD73E6A9DE6EB96D1CDD6DF65E8F,0,15,15,16,16,20,7.800000000000001,15
675341EA8051C5CAB8508FF1554CE164,4,32,29,24,25,21,5.566666666666667,30
6B9CFFB3E0DE6FA0C47B8410C4467F89,0,7,7,23,8,14,7.142857142857142,7
CABB85BDEAC675E058B81008BB3BAFBE,0,3,3,14,4,15,11.666666666666666,3
DAB972641CDD57B498702CA343A4ABCF,0,9,9,24,10,12,5.444444444444445,9
B5880D49650192A307A08F4D6BD1B1A6,1,2,2,20,3,4,2.5,2
BE0BF91461B9097C1A9D0F98E6C30E65,12,4,13,19,11,21,8.6875,16
95BC3B2233ECAE0717CC70A45315365B,0,3,3,21,5,2,1.6666666666666667,3
897445C8F4A40534C0A4B6E006A5454A,5,29,24,25,25,20,4.750000000000002,24
5F80B55E80AAD36EB6DACDC15ABC89B7,0,1,1,20,2,3,3.0,1
2E9026469C329DB2220F26911ABD1929,1,15,14,15,15,21,6.357142857142858,14
B855837734B4686C3E8D439BA634E8B3,7,25,22,23,24,21,5.125,24
50ED7C8D251FF05F53DD6E22A0D3D3A9,0,3,3,26,4,10,4.333333333333334,3
E925C125456283AEE62527E2CF823E6C,13,8,4,31,7,1,0.16666666666666669,6
667B1425546E7502CD66F9DF0C6321C1,4,29,25,26,26,21,4.3999999999999995,25
40B224DCDBE486DBB2D13E81B285589A,0,30,30,31,32,21,4.511627906976745,43
33EA483B9652B49782CDB92710831EE4,3,22,19,20,21,21,6.55,20
D9E25816BC151CCF9DC5EF16A0D158E4,0,0,4,25,5,8,5.75,4
27893F4B9A04A6D82DFCD3F2D6A2F265,1,9,8,17,9,16,6.999999999999999,8
353F5753723862B50764848D793C4648,3,9,7,12,8,14,2.428571428571429,7
2632F8B1C1F26EC8BEA76F88228D875E,0,10,10,11,11,21,3.8999999999999995,10
EAF5D2453F6EB52AC82D6B5EDD33B4C4,4,13,9,19,11,21,5.4444444444444455,9
9AB15754D4B3B28488B088CAFD9DD5DF,0,10,10,11,11,21,5.799999999999999,10
FFB030A91BE1315EE25A6BA619E1D903,4,33,29,13,13,21,4.758620689655173,29
CF868C1A00B3C101100B7EEA7B1F0412,0,9,9,16,10,16,5.888888888888889,9
78CADEAF2A3C6D8B3B7A5CF8BE63752A,6,36,30,31,32,21,5.903225806451613,31
8AF7E7372DBD48F12F569ECFDC320F9F,1,4,3,17,4,8,6.0,3
DC9A698C551E9FF66065E9691E39AED9,0,4,4,23,5,12,7.0,4
EF4779CD39B730D9CDFEB3CCE8B4164F,2,13,11,16,12,15,5.545454545454546,11
8EC43C9E15331DB709A2E1D79C8CE826,1,8,7,25,8,8,3.8571428571428577,7
127C8DEEBBC9881C616168923C93DBC8,0,4,4,20,5,21,13.0,4
9CAF9CA9B3EA5F96AB40243D7C722DD8,3,2,0,20,12,,,0
51D3B104173A762F71186155A6EC5E1A,14,13,0,26,26,,,0
FF74A964AAA9943AEA2A56F6DA42D287,6,6,0,19,19,,,0
9E0ABF3B728F869C8C7D9FA284AC6FBA,2,1,0,15,15,,,0
C542DEFA68029264C4B92D1B72423CA2,29,26,0,24,24,,,0
E174E1EC24FC2C81E1685ADACB7B6B6B,0,0,0,20,20,,,0
64F13A17FA4F4CD0134EA86C38AF7582,0,0,14,24,16,12,7.533333333333333,15
A9375BCFD6BA93606C805F6B1D15D848,0,30,30,31,31,21,6.533333333333333,30
0AC53DB99F24A0CD38393D6DF82BAACD,0,3,3,17,4,7,5.0,3
C6EAD483A8AF7EE9B0ADE6D7CE5DD698,0,16,16,17,17,21,5.375000000000001,16
6DF621C3F9685F451861F918089F9DA8,4,2,0,23,23,,,0
DFD1344F33596245968DB88E254A02CA,0,0,0,13,7,,,0
E80CC12FCE5CA2B2BBAD156392A4FDE2,0,3,3,15,4,12,11.333333333333334,3
B4653EE7AA5AB38E47F66AAE2F708BD9,1,14,13,14,14,17,6.0769230769230775,13
275EA96669D61BB4840D5B454651AED1,3,11,10,26,11,12,3.8,10
ACB0CC9AC2138D424084DC1D8C18F077,8,20,12,14,14,21,6.666666666666667,12
8205962BBD2EFA6103B66F1CE5701F93,0,5,5,23,6,8,3.6,5
0D601508AD1F1005DAE72845C27B9534,8,19,15,16,16,21,7.4,15
DB720DA220F64B53FEE005F5B67B0ACD,0,0,3,17,4,12,9.0,3
5153009CA85241D3EE7B12ED7E8093F4,0,0,0,11,2,,,0
407F9E10B097ABA763F94C554180BEBE,4,16,14,14,11,21,9.5,14
611F13AC1FDD7501757DB0D65D5FB284,0,17,17,31,18,12,5.352941176470588,17
5B4FD8662DAD71406319200659FDF420,0,16,16,17,18,21,5.8235294117647065,17
112CB2002BE857C7D877423F153071F2,0,14,14,15,15,21,6.2857142857142865,14
1E484C06A40749374184EFC9606965EF,3,2,14,14,15,21,5.866666666666667,15
9B80883ACDC4F72515FCE888EC4C6A74,0,25,25,22,8,11,4.24,25
C2C1AAB8E3783DA7DA1EB5412E26B35A,0,2,2,22,3,14,8.5,2
4C9054D8A4733305C7FB7B783CF0C98A,1,7,6,14,7,14,6.5,6
C59D8409F4845547C4404A7C2DA0D2A6,5,25,20,31,21,15,4.650000000000001,20
