user_pseudo_id,nav_screen_views,nav_distinct_categories,nav_transitions,nav_distinct_transitions,nav_self_loops,nav_cnt_game_over,nav_cnt_shop,nav_cnt_steps,nav_cnt_ad,nav_cnt_level_select
26CBD7ACB1A0499FD5060027824E9AE4,17,5,0,0,0,0,0,1,0,2
21C77EB7A47823480BC90809AC502C1D,545,7,0,0,0,165,0,39,0,5
7784EDD698E24FC699C35C25C420205D,7,3,0,0,0,0,0,1,0,0
43A6C1B2DF12457C586D0C444F5FD2D5,13,4,0,0,0,2,0,1,0,0
A87E3B07157E3511BAE1BAE7B3610439,2,2,0,0,0,0,0,0,0,0
7D9CEA1400587229F8137B8DE4890F07,7,3,0,0,0,1,0,0,0,0
BD9C7AC55462505A3C13C5F289429ABB,6,2,0,0,0,0,0,0,0,0
0BAF522ECC60142249DB9D277C9C471C,21,5,0,0,0,2,0,1,0,0
99802DB5CFDE1F6348B0FA18126A2267,10,5,0,0,0,2,0,0,0,1
C5829585A78C2CC984DDF858AD671C47,40,4,0,0,0,11,0,4,0,0
FB22A182F8219C14D6B8B0F8F0E1A21A,13,4,0,0,0,3,0,1,0,0
21E8E6AD07C15D84DF342090648A45F1,9,4,0,0,0,3,0,1,0,0
036FB88153A3399ABD104AB1B4BC7BEB,11,4,0,0,0,2,0,1,0,0
50C60BB1599A79A9FA68C92B9E9589F2,19,4,0,0,0,5,0,2,0,0
2DFF310A6B208FF63B6E7C83D02EBFB8,14,3,0,0,0,2,0,0,0,0
9761B388253B6F40776C6CCBA12762A9,10,2,0,0,0,0,0,0,0,0
F91F493916395FE4E16DE98B24388985,18,4,0,0,0,1,0,0,0,0
AFBF239F648C0E45C7F1400A76F14245,4,3,0,0,0,0,0,0,0,0
845E3B856C5656248BB47C5282EB9A09,8,5,0,0,0,2,0,2,0,0
29067BC9FD2834DEF1F91A45AFE9ED6C,254,6,0,0,0,61,0,10,0,3
825556FF33132E6FAAB560C4FE19E54C,4,3,0,0,0,0,0,0,0,0
E8D079DBA4F198FC368C129D43D4618F,14,4,0,0,0,0,0,0,3,3
7D3945134E94813BEF77D77942D1A324,6,2,0,0,0,0,0,0,0,0
529F3D9084B348083B61D034041AA727,58,7,0,0,0,8,0,2,1,1
F6B1C559BC50693DF420E05719EFCCEB,37,6,0,0,0,3,0,0,2,2
94DD454956F90F0257216FF10E8F02DE,90,6,0,0,0,7,0,6,0,3
F836FAA923088FF72DA361A4883E5F7A,13,3,0,0,0,0,0,0,0,0
630A6B666B333764B46E920EB4624C1F,23,4,0,0,0,4,0,2,0,0
E46E7BA2952F6AF1B3CE98FB9604AE9C,9,3,0,0,0,1,0,0,0,0
38655D4FA36E1634A340169CABF1AAE9,17,3,0,0,0,6,0,0,0,0
8F9C09BD13D08490EA3B0EF3365325FD,14,4,0,0,0,3,0,1,0,0
198034282E5DDB7623949717B1D65908,17,4,0,0,0,2,1,0,0,0
BE2CD71418F84CF52FCB144658DFCBAC,16,3,0,0,0,2,0,0,0,0
899AF7B4F1104C20F45CD6211D0E828A,29,5,0,0,0,5,0,3,0,0
C4DAADDE6EF8992A9F276F9200C85C8D,28,5,0,0,0,9,0,2,0,1
70EB1D4B62D7BBC62941EBC5015D1E57,3,1,0,0,0,0,0,0,0,0
5DC5AEF9C16463E110F88FE8369597B1,1,1,0,0,0,0,0,0,0,0
DCA6E35DBA9B19F11C82CBDD4DCE1D93,3,1,0,0,0,0,0,0,0,0
7D95DC873E0F95E0D774526A9656D41C,4,1,0,0,0,0,0,0,0,0
0EC1BAB7107C7EA649A44C64363F3602,2,1,0,0,0,0,0,0,0,0
